PAC,T,True,Pred,RPE
GH,1250,50.8994,49.2718044616038,3.197671364291524
BG,1000,38.0379,40.964792261211095,7.694673631328476
BQ,750,31.4589,30.30704600643311,3.661456673840752
AR,750,31.8649,31.253512274374746,1.918687099677868
JP,750,32.6563,29.852839245249285,8.584747061824874
EH,750,32.3277,30.73294557488862,4.933089657202272
KQ,1250,50.3512,49.340806665149245,2.0066916674294832
BE,750,29.5389,31.833292624969342,7.767359735702211
CK,750,30.8865,31.96989838826768,3.5076761312148617
GQ,1250,49.1734,49.453491218851006,0.5695990491831059
GJ,750,28.9601,30.72918070569187,6.108683000721234
HH,750,28.1017,30.561021585964248,8.751504663291712
BR,1250,52.2655,50.52502242031267,3.330069701212711
JQ,1250,49.4428,49.075590903262444,0.7426947841496717
AG,1000,38.1617,40.83110210187352,6.994976905833638
FJ,750,29.0657,30.350294827047914,4.419624598918707
BS,750,29.8159,30.983269078511473,3.9152568881418093
CQ,750,29.041,30.60930854982018,5.400325573569025
BE,1250,52.4306,50.982083302524565,2.7627314916774433
AB,1250,49.2353,50.24590849316968,2.0526095975238845
DS,750,31.6106,30.42115844955092,3.7627933365677406
DK,1000,40.3519,41.593808142061974,3.0776943392057703
HR,1250,49.935,49.709217455528524,0.4521528876969626
PQ,1000,37.9374,38.8753181126781,2.4722783128999484
EP,750,29.5273,31.57955250315985,6.950356121825731
AS,750,30.3155,30.840329460026936,1.7312248190758395
JP,1250,51.218,49.00162992280466,4.32732648130607
AS,1250,49.2215,49.989120137582454,1.5595220332221789
BQ,1000,39.3665,39.88144134521084,1.3080699203912876
CH,750,27.3424,31.572704120659125,15.471590352928505
FF,750,30.2682,30.694483846096503,1.408355455879447
GP,1250,49.1689,49.984443095653035,1.6586563776147805
HP,1000,39.8127,40.38429483675589,1.435709803042477
KR,750,27.02,31.373867959990683,16.113500962215706
EQ,1250,46.7642,49.81885109700903,6.5320289815906785
AK,1250,52.8895,50.37511131852776,4.754041315331476
AJ,1250,50.0278,49.69394450659825,0.6673399457936376
AP,750,30.0499,30.532226163368605,1.6050840880289268
KR,1000,39.9546,40.94826329876843,2.4869809703223957
DE,1000,39.9994,39.29313935377165,1.765678100742389
AP,1250,52.413,49.681016840923974,5.212415162413949
CS,1000,40.9118,41.4480936821002,1.3108533041816808
AD,750,30.6683,31.612765820151132,3.0796158253021324
GR,1000,40.0321,39.8404183149543,0.4788199595966763
KS,750,27.1946,30.992063742054537,13.964036029412219
GQ,1000,38.9271,39.879095880073336,2.4455864425383176
BQ,1250,52.7087,49.455836683988515,6.171397351882109
AC,1250,52.7732,51.136107206748974,3.1021290981995184
SS,1250,50.2405,50.246373943791184,0.011691650742303073
EH,1250,49.9457,49.88173625244395,0.1280665754130024
FP,1250,48.8095,49.09449195318694,0.5838862376933567
BC,750,31.3399,32.106291077951184,2.4454164753275656
KP,1000,39.1689,40.11398372887066,2.412842149947169
BR,750,31.1647,31.37623174275733,0.6787543045732197
BC,1000,39.7804,41.680686416728854,4.776941450384746
CS,750,33.7926,31.873698343322527,5.678467051003691
EE,1250,51.8157,49.41127003135713,4.640350258016148
BP,1250,53.3217,49.61236431461435,6.956521801416034
QQ,1000,38.0508,38.480617509567985,1.1295886277502243
BD,1000,39.903,41.35067734603206,3.6279912438464743
FQ,1000,41.3546,39.41165647980091,4.6982524802539185
FF,1000,40.7152,40.268879184874095,1.096201947002368
DH,750,31.6713,30.21197231666069,4.607729027034909
CF,750,29.8584,31.721764907341612,6.240672331208679
QS,1000,41.4603,39.54927314214011,4.609293367052066
KS,1250,47.9458,50.14085441960993,4.578199591225784
QQ,1250,48.0345,48.055012848345875,0.04270440692809051
JQ,1000,40.9016,39.50119556448468,3.4238377851118775
CF,1000,38.6095,41.29616024611927,6.958547109181094
FP,1000,39.6071,39.520096614409304,0.21966613458369383
HP,750,29.8931,30.809899497978197,3.0669268091238333
BB,750,30.8681,31.239145761488395,1.2020362817549393
HH,1250,47.9892,49.70981226351945,3.58541560084239
FG,1250,51.9437,50.624363439231544,2.5399356625894103
JK,750,31.518,30.567362473822644,3.016173380853342
FH,750,26.8039,31.549361596545136,17.704369873582344
HJ,750,27.4647,30.864294878185934,12.378052111204322
FQ,1250,49.9213,48.986051818578645,1.8734451655332645
AQ,750,32.0113,30.176489362736138,5.731759213977128
CP,1250,51.4382,50.717648634023945,1.40080983777826
JS,750,27.596,30.59414414026285,10.864415640900306
HK,1250,48.5862,50.606680513703644,4.158548134457204
PQ,750,29.6608,29.30092277390034,1.213309236769268
QQ,750,32.1009,28.9062221707904,9.951988353004442
CQ,1000,39.4959,40.18370388859787,1.7414564261046581
FH,1250,51.6554,50.698152274100515,1.8531416384337072
BJ,750,35.6854,30.72315555932379,13.905531227550236
AH,1250,50.1834,50.435354916753795,0.502068247176947
GG,750,26.5997,29.55385017303743,11.10595297329455
KQ,750,36.821,30.19201598759398,18.003269906862982
AE,1250,51.7566,50.915888227709175,1.6243566468640211
GH,750,28.5075,30.123013784048535,5.666978107685817
BG,1250,50.6619,50.53918759998881,0.24221831398189891
JJ,750,27.8654,30.484155733854738,9.397875981879812
PP,1250,50.4338,48.90525739679834,3.0307900717408907
GS,750,29.2149,30.87948008988899,5.697709353408669
QR,1250,51.746,49.451696946660164,4.433778559385921
EG,1000,37.6468,39.91535442011473,6.025889106417364
AJ,1000,39.7753,40.11954916782047,0.8654847803045401
QS,1250,49.9144,49.12366848091787,1.584175146014235
ER,1000,40.4003,40.19806890399847,0.5005683027144184
