PAC,T,True,Pred,RPE
GH,1250,49.735,52.422766909406775,5.404175951355737
BG,1000,51.9807,55.9351460092065,7.607527426922876
BQ,750,53.7839,56.01789211230268,4.153644700928493
AR,750,47.5796,52.350573114481776,10.027350197315187
JP,750,51.5119,55.756442954920196,8.239926997296157
EH,750,57.4444,58.58593706309249,1.9872033881326734
KQ,1250,47.0518,51.88525159004839,10.272617817062025
BE,750,52.5393,53.98459298309079,2.7508797854002527
CK,750,54.0073,60.37811186159034,11.79620507151874
GQ,1250,40.409,43.96271124779408,8.794355831112089
GJ,750,87.4495,77.2088106273856,11.710403573050042
HH,750,81.6832,70.3515941320047,13.872627257496392
BR,1250,40.6522,37.781330300779345,7.062027883412597
JQ,1250,44.3721,49.2608902466252,11.017712135835804
AG,1000,48.308,52.64175942965859,8.971100914255592
FJ,750,104.508,93.0864849063666,10.928842857612242
BS,750,82.2311,70.68905303634956,14.036109165085271
CQ,750,41.5086,51.29365499779202,23.57356065439937
BE,1250,39.721,37.46405644296054,5.6819907782771235
AB,1250,40.222,39.30738271303258,2.273922945073393
DS,750,67.1885,64.30937412135083,4.2851468311529155
DK,1000,48.4771,52.47832329134526,8.253842105541095
HR,1250,41.5059,43.190645714834815,4.059051158593883
PQ,1000,33.2518,39.09165807471301,17.56253217784603
EP,750,40.5604,47.118233893539305,16.16807007213761
AS,750,75.3973,67.8419848482075,10.020670702787102
JP,1250,39.9937,39.23590641478972,1.8947823912523216
AS,1250,50.0502,51.32144830807762,2.539946509859349
BQ,1000,43.3567,47.75762384223782,10.150504633050542
CH,750,56.5386,57.720728321150055,2.0908340870662747
FF,750,116.428,103.26003674323982,11.309962600714755
GP,1250,40.4442,35.35474262021273,12.583899248315628
HP,1000,39.0007,44.26176497045479,13.489668058406103
KR,750,67.3546,65.1848136945894,3.2214374451197254
EQ,1250,38.3468,33.15159134994854,13.547958760708747
AK,1250,47.063,51.26072218613562,8.919368051623598
AJ,1250,47.2769,49.58606701437103,4.88434523915704
AP,750,37.9892,46.853500791411896,23.333739040074285
KR,1000,51.9538,56.92454542452438,9.567626284361069
DE,1000,37.1223,36.237599202359704,2.3832057756127694
AP,1250,38.4626,30.332964251281865,21.13646958010674
CS,1000,46.1796,57.56758671815309,24.66021082502466
AD,750,44.7342,49.0491731732726,9.645803821846815
GR,1000,45.7359,50.74827013728468,10.959377944425881
KS,750,97.373,87.68054746898022,9.953942603206004
GQ,1000,47.3803,52.22297951785939,10.220871370293972
BQ,1250,39.9753,39.49735557217281,1.1955993521679378
AC,1250,38.4505,32.4187786179693,15.686977755895752
SS,1250,65.5937,79.24205440467223,20.80741657304319
EH,1250,42.1955,42.06540052296276,0.30832547792357295
FP,1250,41.6291,44.878961364695094,7.806705801218602
BC,750,43.5759,50.83520769831455,16.658996597464544
KP,1000,41.9246,50.07754819675433,19.44669286470075
BR,750,51.2351,54.3018668409093,5.9856755250000395
BC,1000,36.9095,42.57493942824915,15.349542606237286
CS,750,58.5319,65.82785498821781,12.464920817909222
EE,1250,39.2746,29.82293513707239,24.06559166211142
BP,1250,38.616,32.42739780300336,16.02600527500684
QQ,1000,39.7387,48.58195701373739,22.253513612013947
BD,1000,37.6109,42.74535397342285,13.651505211050123
FQ,1000,60.9776,64.76990937062074,6.21918437364005
FF,1000,99.4596,94.99976847317467,4.484063405468477
DH,750,53.0889,56.32250262831432,6.090920377544676
CF,750,57.0436,64.4721931043434,13.02265829005078
QS,1000,56.4084,60.98043818543891,8.105243519473897
KS,1250,65.885,71.16001092885062,8.006391331639401
QQ,1250,38.0918,40.321688743672226,5.85398627440086
JQ,1000,52.8211,57.521158516690214,8.89807012101265
CF,1000,48.069,56.211924834278534,16.94007537972192
FP,1000,46.4436,53.13922963475973,14.416689564891017
HP,750,46.5265,52.52203324051966,12.886276080340586
BB,750,56.2623,58.196484400186726,3.437798312878647
HH,1250,51.2845,53.83105759187514,4.965550199134506
FG,1250,61.4649,71.53362672631211,16.38126268213583
JK,750,99.2097,85.60292431779668,13.715166644192372
FH,750,98.3167,87.69922897449294,10.799254882951784
HJ,750,87.6112,77.05626195176806,12.047475720263998
FQ,1250,49.4493,56.50964110055543,14.277939425948247
AQ,750,51.2138,54.035243861578465,5.509147654691638
CP,1250,39.635,28.304664786750518,28.586691593918204
JS,750,99.3223,83.96862415619974,15.458437675930039
HK,1250,59.6095,64.02496194334539,7.407312497748499
PQ,750,37.1378,47.35192634477795,27.50331561045068
QQ,750,51.2406,56.842225283802556,10.932005643576685
CQ,1000,35.7908,43.0333867277267,20.235889468038444
FH,1250,64.1602,71.1786924343626,10.939012712495595
BJ,750,68.7138,68.65703664748841,0.08260837344404638
AH,1250,41.9428,45.45167587323409,8.365859869236411
GG,750,79.1078,66.53949167976137,15.887571541919545
KQ,750,68.5766,68.40578813017856,0.2490818585660924
AE,1250,38.7436,35.154765050487676,9.263039442675241
GH,750,77.0675,68.9433034495368,10.541663542301484
BG,1250,43.8998,47.67487773914133,8.599305097383885
JJ,750,95.9215,83.65253097160782,12.790635080135505
PP,1250,38.9772,24.4100124607606,37.37361210974468
GS,750,93.6927,83.22031631079116,11.177374212941714
QR,1250,39.1755,35.13844421445756,10.305052355534562
EG,1000,45.628,49.34190684913372,8.139534604045151
AJ,1000,53.9666,57.846335284435895,7.18914158838225
QS,1250,48.0378,52.7201699153742,9.747261355378896
ER,1000,37.6512,40.00257927596461,6.245164233715269
